fuel_type,body_type,km_driven,city,brand,transmission_type,no_of_owner,seats,manufacture_year,registration_year,model_year,price
Petrol,Sedan,50000,bangalore,Hyundai,Manual,1,5,2018,2018,2018,674000.0
Petrol,Hatchback,12434,bangalore,Maruti,Manual,1,5,2015,2015,2015,349000.0
Petrol,MUV,60000,bangalore,Maruti,Manual,2,7,2019,2019,2019,1050000.0
Diesel,Sedan,12000,bangalore,Mercedes-Benz,Automatic,1,5,2019,2019,2019,4425000.0
Petrol,Hatchback,40987,bangalore,Maruti,Manual,2,5,2015,2015,2015,405999.99999999994
Petrol,Sedan,18157,bangalore,BMW,Automatic,1,5,2020,2020,2020,4965000.0
Diesel,SUV,120000,bangalore,Toyota,Manual,3,7,2011,2011,2011,1100000.0
Diesel,SUV,40000,bangalore,Renault,Automatic,2,5,2020,2020,2020,1100000.0
Petrol,Hatchback,89667,bangalore,Hyundai,Manual,1,5,2016,2016,2016,594000.0
Diesel,Hatchback,120000,bangalore,Hyundai,Manual,1,5,2017,2017,2017,710000.0
Petrol,Hatchback,56997,bangalore,Maruti,Manual,1,5,2017,2017,2017,692000.0
Petrol,Sedan,120000,bangalore,Hyundai,Manual,1,5,2013,2013,2013,650000.0
Diesel,Sedan,59000,bangalore,Audi,Automatic,1,5,2015,2016,2015,2089999.9999999998
Petrol,Hatchback,18835,bangalore,Maruti,Manual,1,5,2021,2021,2021,411000.00000000006
Diesel,SUV,120000,bangalore,Mahindra,Manual,2,7,2010,2010,2010,650000.0
Petrol,Hatchback,40000,bangalore,Mini,Automatic,1,4,2016,2016,2016,3675000.0
Petrol,Hatchback,60932,bangalore,Tata,Manual,1,5,2019,2019,2019,610000.0
Petrol,SUV,33539,bangalore,Kia,Automatic,2,5,2020,2020,2020,1675000.0
Petrol,Hatchback,66837,bangalore,Tata,Manual,2,5,2018,2018,2018,530000.0
Diesel,Sedan,400,bangalore,Mercedes-Benz,Automatic,1,5,2022,2022,2022,7990000.000000001
Petrol,Hatchback,60000,bangalore,Maruti,Manual,2,5,2008,2008,2008,250000.0
Petrol,Hatchback,44285,bangalore,Hyundai,Manual,1,5,2019,2019,2019,715000.0
Diesel,SUV,100000,bangalore,Mercedes-Benz,Automatic,2,7,2014,2014,2014,3500000.0
Diesel,SUV,25000,bangalore,Tata,Automatic,1,6,2021,2021,2021,2250000.0
Petrol,Hatchback,36735,bangalore,Hyundai,Manual,1,5,2018,2019,2018,625000.0
Diesel,SUV,79000,bangalore,Audi,Automatic,1,7,2015,2015,2015,2695000.0
Diesel,SUV,120000,bangalore,Mahindra,Manual,2,8,2010,2010,2010,650000.0
Petrol,Hatchback,10000,bangalore,Renault,Automatic,1,5,2022,2022,2022,550000.0
Diesel,SUV,53645,bangalore,Tata,Manual,1,5,2018,2018,2018,825000.0
Petrol,Hatchback,100000,bangalore,Hyundai,Manual,2,5,2006,2006,2006,220000.00000000003
Petrol,Hatchback,53982,bangalore,Maruti,Automatic,1,5,2014,2014,2014,428000.0
Diesel,Sedan,110000,bangalore,Skoda,Manual,1,5,2014,2014,2014,695000.0
Petrol,SUV,37741,bangalore,Ford,Manual,2,5,2019,2019,2019,930000.0000000001
Petrol,Hatchback,17367,bangalore,Maruti,Manual,1,5,2021,2021,2021,455000.0
Diesel,SUV,94000,bangalore,Hyundai,Manual,1,5,2017,2017,2017,1195000.0
Diesel,SUV,33700,bangalore,Tata,Automatic,1,5,2021,2021,2021,2175000.0
Petrol,Hatchback,54601,bangalore,Maruti,Manual,3,5,2014,2014,2014,442000.0
Diesel,Hatchback,110000,bangalore,Maruti,Manual,1,5,2018,2018,2018,690000.0
Petrol,Hatchback,64000,bangalore,Maruti,Manual,2,5,2017,2017,2017,500000.0
Diesel,Sedan,40525,bangalore,BMW,Automatic,1,5,2016,2016,2016,3395000.0000000005
Diesel,Sedan,100000,bangalore,Maruti,Manual,1,5,2015,2015,2015,650000.0
Petrol,Hatchback,44154,bangalore,Honda,Automatic,2,5,2016,2016,2016,537000.0
Diesel,MUV,70000,bangalore,Renault,Manual,1,7,2016,2016,2016,750000.0
Petrol,Sedan,79000,bangalore,Skoda,Automatic,1,5,2018,2018,2018,1789999.9999999998
Petrol,Hatchback,68039,bangalore,Tata,Manual,2,5,2017,2018,2017,468000.0
Petrol,Hatchback,60000,bangalore,Maruti,Manual,2,5,2014,2014,2014,420000.0
