fuel_type,body_type,km_driven,city,brand,transmission_type,no_of_owner,seats,manufacture_year,registration_year,model_year,price
Petrol,MUV,27925,chennai,Renault,Manual,1,7,2021,2021,2021,661000.0
Petrol,Sedan,10000,chennai,Skoda,Automatic,1,5,2022,2022,2022,2000000.0
Petrol,SUV,40000,chennai,Mahindra,Manual,2,6,2017,2017,2017,320000.0
Petrol,Hatchback,60000,chennai,Hyundai,Manual,2,5,2014,2014,2014,200000.0
Petrol,Sedan,90000,chennai,Hyundai,Manual,5,5,2008,2008,2008,145000.0
Petrol,Hatchback,65744,chennai,Volkswagen,Manual,3,5,2013,2013,2013,325000.0
Petrol,Hatchback,80000,chennai,Maruti,Automatic,4,5,2011,2011,2011,200000.0
Petrol,MUV,30000,chennai,Maruti,Automatic,2,7,2020,2020,2020,1025000.0
Diesel,Hatchback,60000,chennai,Tata,Manual,3,5,2007,2007,2007,50000.0
Petrol,SUV,20000,chennai,Skoda,Automatic,1,5,2022,2022,2022,1300000.0
Petrol,Sedan,90000,chennai,Volkswagen,Manual,3,5,2012,2012,2012,231999.99999999997
Petrol,SUV,18655,chennai,Volkswagen,Manual,1,5,2021,2022,2021,1639000.0
Petrol,Hatchback,51578,chennai,Tata,Manual,1,5,2020,2020,2020,536000.0
Diesel,Hatchback,113000,chennai,Ford,Manual,1,5,2012,2012,2012,229999.99999999997
Petrol,Hatchback,27861,chennai,Renault,Manual,1,5,2016,2016,2016,357000.0
Petrol,Sedan,20419,chennai,Maruti,Manual,1,5,2020,2020,2020,786000.0
Petrol,Sedan,49165,chennai,Volkswagen,Manual,2,5,2013,2013,2013,409999.99999999994
Petrol,SUV,38309,chennai,Honda,Manual,2,5,2018,2018,2018,607000.0
Petrol,SUV,12000,chennai,Toyota,Automatic,1,5,2022,2022,2022,1150000.0
Petrol,Hatchback,27872,chennai,Honda,Automatic,1,5,2017,2017,2017,684000.0
Petrol,Hatchback,14023,chennai,Renault,Manual,1,5,2022,2022,2022,451000.0
Petrol,MUV,30000,chennai,Maruti,Manual,1,7,2019,2019,2019,985000.0
Diesel,SUV,30000,chennai,Tata,Manual,1,5,2021,2021,2021,800000.0
Diesel,Sedan,116377,chennai,Hyundai,Manual,2,5,2012,2012,2012,450000.0
Diesel,Hatchback,13109,chennai,Volkswagen,Manual,1,5,2021,2021,2021,785000.0
Diesel,Sedan,67500,chennai,Ford,Manual,1,5,2015,2015,2015,415000.00000000006
Petrol,Hatchback,84169,chennai,Hyundai,Manual,1,5,2007,2007,2007,150000.0
Diesel,Sedan,50000,chennai,Audi,Automatic,2,5,2016,2016,2016,1500000.0
Petrol,Hatchback,80000,chennai,Ford,Manual,3,5,2011,2011,2011,170000.0
Petrol,MUV,14475,chennai,Maruti,Manual,1,7,2022,2022,2022,1000000.0
Petrol,Hatchback,20000,chennai,Hyundai,Automatic,3,5,2020,2020,2020,570000.0
Petrol,Hatchback,53631,chennai,Maruti,Automatic,1,5,2018,2019,2018,638000.0
Petrol,SUV,92562,chennai,Ford,Automatic,1,5,2018,2018,2018,674000.0
Petrol,Sedan,90000,chennai,Maruti,Manual,3,5,2010,2010,2010,200000.0
Petrol,Hatchback,24690,chennai,Maruti,Manual,1,5,2021,2021,2021,433000.0
Petrol,Hatchback,15915,chennai,Renault,Automatic,1,5,2020,2020,2020,518000.0
Diesel,Hatchback,100000,chennai,Ford,Manual,2,5,2011,2011,2011,175000.0
Petrol,SUV,36390,chennai,Renault,Manual,1,5,2021,2021,2021,840000.0
Petrol,Hatchback,9112,chennai,Maruti,Manual,1,5,2012,2012,2012,295000.0
Petrol,Hatchback,13923,chennai,Ford,Automatic,1,5,2021,2021,2021,740000.0
Petrol,Hatchback,58263,chennai,Maruti,Manual,1,5,2017,2017,2017,520000.0
Petrol,Minivans,20000,chennai,Maruti,Manual,1,7,2021,2021,2021,470000.0
Diesel,Hatchback,80000,chennai,Maruti,Manual,3,5,2015,2015,2015,200000.0
Diesel,Hatchback,65991,chennai,Maruti,Manual,0,5,2013,2015,2013,395000.0
Diesel,Hatchback,13397,chennai,Mahindra,Manual,1,6,2016,2016,2016,350000.0
Petrol,Sedan,57121,chennai,Maruti,Automatic,2,5,2015,2015,2015,550000.0
Petrol,Sedan,70418,chennai,Tata,Manual,1,5,2015,2016,2015,400000.0
Petrol,Sedan,22421,chennai,Honda,Automatic,0,5,2019,2016,2019,640000.0
Diesel,Hatchback,83045,chennai,Tata,Manual,0,5,2009,2016,2009,135000.0
Petrol,Hatchback,86715,chennai,Hyundai,Manual,0,5,2008,2016,2008,170000.0
Petrol,Hatchback,77032,chennai,Hyundai,Manual,0,5,2008,2016,2008,195000.0
Petrol,Hatchback,21614,chennai,Datsun,Manual,1,5,2019,2019,2019,312000.0
Petrol,Hatchback,35375,chennai,Maruti,Manual,1,5,2020,2020,2020,383000.0
Diesel,Sedan,89545,chennai,Volkswagen,Manual,0,5,2010,2020,2010,310000.0
Petrol,Hatchback,83298,chennai,Hyundai,Manual,1,5,2019,2019,2019,590000.0
Petrol,Hatchback,33250,chennai,Maruti,Automatic,1,5,2022,2022,2022,758000.0
Petrol,Hatchback,75000,chennai,Honda,Manual,2,5,2015,2015,2015,480000.0
Diesel,SUV,87026,chennai,Ford,Manual,1,5,2018,2018,2018,794000.0
Diesel,MUV,33000,chennai,Toyota,Automatic,1,7,2021,2021,2021,2850000.0
Petrol,Sedan,37294,chennai,Honda,Manual,2,5,2020,2020,2020,1069000.0
Petrol,Hatchback,65840,chennai,Renault,Manual,1,5,2016,2017,2016,327000.0
Diesel,SUV,45000,chennai,Isuzu,Automatic,2,7,2019,2019,2019,1900000.0
Petrol,Sedan,62865,chennai,Honda,Manual,1,5,2015,2015,2015,425000.0
Diesel,Hatchback,62442,chennai,Mahindra,Manual,1,6,2017,2017,2017,434999.99999999994
Petrol,Sedan,154931,chennai,Volkswagen,Manual,2,5,2014,2014,2014,330000.0
Petrol,Sedan,63318,chennai,Honda,Manual,1,5,2017,2017,2017,800000.0
Petrol,Sedan,47146,chennai,Honda,Manual,1,5,2017,2017,2017,750000.0
Petrol,Hatchback,17797,chennai,Hyundai,Automatic,1,5,2016,2016,2016,495000.0
Petrol,Hatchback,52802,chennai,Maruti,Manual,1,5,2015,2015,2015,475000.0
Diesel,SUV,46830,chennai,Honda,Manual,2,5,2018,2018,2018,700000.0
Diesel,Sedan,34000,chennai,BMW,Automatic,1,5,2016,2016,2016,2700000.0
Petrol,SUV,70038,chennai,Ford,Manual,1,5,2018,2018,2018,785000.0
Petrol,Hatchback,15957,chennai,Tata,Manual,1,5,2021,2021,2021,795000.0
Petrol,Sedan,63860,chennai,Honda,Manual,2,5,2014,2014,2014,415000.00000000006
Petrol,Sedan,51252,chennai,Maruti,Automatic,1,5,2017,2017,2017,660000.0
Petrol,SUV,56071,chennai,Ford,Automatic,2,5,2015,2015,2015,543000.0
Diesel,Hatchback,38100,chennai,Honda,Manual,1,5,2017,2017,2017,650000.0
Diesel,SUV,87634,chennai,Mahindra,Automatic,3,7,2017,2017,2017,1129000.0
Petrol,Hatchback,14424,chennai,Hyundai,Manual,1,5,2010,2010,2010,270000.0
Petrol,Sedan,39542,chennai,Tata,Automatic,2,5,2018,2019,2018,557000.0
Petrol,Hatchback,114507,chennai,Hyundai,Manual,2,5,2016,2016,2016,441000.0
Diesel,Hatchback,67129,chennai,Fiat,Manual,1,5,2015,2015,2015,340000.0
Petrol,Hatchback,35405,chennai,Volkswagen,Manual,1,5,2021,2021,2021,1000000.0
Diesel,Hatchback,62992,chennai,Volkswagen,Manual,1,5,2010,2010,2010,295000.0
Petrol,Hatchback,94241,chennai,Hyundai,Manual,1,5,2009,2009,2009,165000.0
Diesel,Hatchback,101423,chennai,Tata,Manual,2,5,2013,2013,2013,149000.0
Petrol,Sedan,21647,chennai,Toyota,Manual,1,5,2013,2013,2013,475000.0
Petrol,Hatchback,78210,chennai,Nissan,Manual,4,5,2010,2011,2010,135000.0
Petrol,Hatchback,39922,chennai,Hyundai,Manual,1,5,2015,2015,2015,430000.0
Petrol,Hatchback,61372,chennai,Maruti,Manual,2,5,2017,2017,2017,375000.0
Petrol,Hatchback,60250,chennai,Hyundai,Manual,1,5,2008,2008,2008,145000.0
Petrol,Hatchback,91617,chennai,Hyundai,Automatic,3,5,2014,2014,2014,398000.0
Petrol,Hatchback,23899,chennai,Hyundai,Automatic,1,5,2021,2021,2021,1076000.0
Petrol,Hatchback,89000,chennai,Maruti,Manual,1,5,2015,2015,2015,430000.0
Petrol,Hatchback,97445,chennai,Maruti,Automatic,2,5,2017,2017,2017,400000.0
Petrol,Hatchback,69680,chennai,Hyundai,Manual,2,5,2012,2012,2012,287000.0
Petrol,Hatchback,87431,chennai,Hyundai,Manual,1,5,2014,2014,2014,495000.0
Petrol,Hatchback,98204,chennai,Hyundai,Manual,1,5,2015,2015,2015,298000.0
Diesel,MUV,161471,chennai,Honda,Manual,1,7,2014,2014,2014,425000.0
Petrol,Sedan,108338,chennai,Honda,Manual,2,5,2012,2012,2012,430999.99999999994
Petrol,Hatchback,47045,chennai,Hyundai,Manual,1,5,2016,2016,2016,577000.0
Petrol,Sedan,18079,chennai,Tata,Automatic,1,5,2018,2019,2018,600000.0
Petrol,Hatchback,44985,chennai,Hyundai,Manual,1,5,2009,2009,2009,225000.0
Diesel,Sedan,84095,chennai,Maruti,Manual,1,5,2017,2017,2017,675000.0
Diesel,SUV,50520,chennai,Jeep,Manual,1,5,2020,2020,2020,1475000.0
Diesel,Sedan,82124,chennai,Mahindra Renault,Manual,3,5,2010,2010,2010,145000.0
Petrol,Hatchback,91644,chennai,Hyundai,Manual,2,5,2005,2005,2005,100000.0
Petrol,Hatchback,100658,chennai,Hyundai,Manual,4,5,2005,2005,2005,70000.0
Petrol,Sedan,3228,chennai,Honda,Automatic,1,5,2018,2018,2018,750000.0
Petrol,Sedan,41516,chennai,Tata,Manual,1,5,2010,2010,2010,150000.0
Diesel,Hatchback,86147,chennai,Chevrolet,Manual,2,5,2012,2012,2012,195000.0
Petrol,Sedan,101566,chennai,Honda,Manual,3,5,2010,2010,2010,364000.0
Diesel,Sedan,73139,chennai,Skoda,Manual,1,5,2018,2018,2018,729000.0
Diesel,Sedan,16787,chennai,Honda,Automatic,1,5,2019,2019,2019,840000.0
Petrol,Sedan,99715,chennai,Skoda,Automatic,2,5,2016,2016,2016,680000.0
Petrol,MUV,44386,chennai,Datsun,Manual,1,7,2018,2019,2018,413999.99999999994
Petrol,Hatchback,56200,chennai,Volkswagen,Manual,1,5,2014,2014,2014,380000.0
Petrol,MUV,17003,chennai,Datsun,Manual,1,7,2018,2018,2018,428000.0
Petrol,Hatchback,44632,chennai,Hyundai,Automatic,1,5,2014,2014,2014,465000.00000000006
Petrol,SUV,32091,chennai,Hyundai,Automatic,1,5,2018,2018,2018,1034000.0
Petrol,MUV,22740,chennai,Renault,Automatic,2,7,2021,2021,2021,772000.0
Diesel,SUV,98000,chennai,Mercedes-Benz,Automatic,2,5,2016,2016,2016,3500000.0
Petrol,Sedan,95495,chennai,Volkswagen,Manual,1,5,2018,2018,2018,450000.0
Petrol,Sedan,122533,chennai,Hyundai,Manual,2,5,2010,2010,2010,210000.0
Petrol,Sedan,55320,chennai,Maruti,Manual,1,5,2013,2013,2013,409999.99999999994
Diesel,Hatchback,68459,chennai,Hyundai,Manual,1,5,2012,2012,2012,325000.0
Petrol,Sedan,14195,chennai,Honda,Manual,1,5,2016,2016,2016,450000.0
Petrol,Hatchback,67900,chennai,Hyundai,Manual,1,5,2012,2012,2012,280000.0
Petrol,Hatchback,47756,chennai,Maruti,Automatic,1,5,2017,2017,2017,409999.99999999994
Petrol,Hatchback,42856,chennai,Hyundai,Automatic,1,5,2016,2016,2016,520000.0
Diesel,Hatchback,43000,chennai,Volkswagen,Manual,1,5,2014,2014,2014,560000.0
Petrol,Sedan,27652,chennai,Toyota,Manual,2,5,2019,2019,2019,702000.0
Petrol,MUV,23539,chennai,Renault,Manual,1,7,2021,2021,2021,656000.0
Petrol,Sedan,50000,chennai,Maruti,Manual,1,5,2015,2015,2015,525000.0
Petrol,Hatchback,18861,chennai,Maruti,Manual,2,5,2017,2017,2017,357000.0
Petrol,Hatchback,41138,chennai,Maruti,Manual,1,5,2017,2017,2017,512000.0
Petrol,Hatchback,55039,chennai,Hyundai,Manual,1,5,2012,2012,2012,250000.0
Petrol,Hatchback,41361,chennai,Hyundai,Manual,2,5,2018,2018,2018,700000.0
Diesel,SUV,81037,chennai,Ford,Manual,1,5,2015,2015,2015,535000.0
Petrol,Hatchback,28897,chennai,Honda,Automatic,2,5,2017,2018,2017,641000.0
Petrol,SUV,46308,chennai,Mahindra,Manual,2,6,2016,2016,2016,339000.0
Petrol,Hatchback,80033,chennai,Hyundai,Manual,1,5,2009,2009,2009,170000.0
Diesel,SUV,15000,chennai,Mini,Automatic,2,5,2015,2015,2015,2650000.0
Petrol,Hatchback,100056,chennai,Maruti,Manual,1,5,2012,2012,2012,310000.0
Petrol,Hatchback,90062,chennai,Hyundai,Manual,1,5,2018,2018,2018,725000.0
Petrol,Sedan,80030,chennai,Chevrolet,Manual,3,5,2005,2005,2005,114999.99999999999
Diesel,SUV,90042,chennai,Mahindra,Automatic,1,7,2016,2016,2016,645000.0
Petrol,Hatchback,78030,chennai,Maruti,Manual,1,5,2017,2017,2017,440000.00000000006
Diesel,SUV,55000,chennai,BMW,Automatic,2,5,2013,2013,2013,1650000.0
Diesel,SUV,100049,chennai,Hyundai,Automatic,1,7,2014,2014,2014,975000.0
Diesel,SUV,138033,chennai,Chevrolet,Manual,1,7,2010,2010,2010,535000.0
Petrol,MUV,14126,chennai,Datsun,Manual,1,7,2018,2018,2018,433000.0
Petrol,SUV,35464,chennai,Renault,Manual,1,5,2020,2020,2020,1044999.9999999999
Diesel,SUV,100036,chennai,Mahindra Ssangyong,Manual,2,7,2013,2013,2013,550000.0
Petrol,Hatchback,55161,chennai,Hyundai,Manual,3,5,2015,2016,2015,411000.00000000006
Petrol,Hatchback,33771,chennai,Hyundai,Automatic,1,5,2019,2019,2019,518000.0
Diesel,MUV,75011,chennai,Chevrolet,Manual,1,8,2016,2016,2016,525000.0
Petrol,Sedan,41659,chennai,Hyundai,Manual,1,5,2016,2016,2016,647000.0
Diesel,Sedan,126055,chennai,Volvo,Automatic,2,5,2012,2012,2012,925000.0
Petrol,Sedan,19935,chennai,Tata,Manual,1,5,2020,2020,2020,645000.0
Petrol,Hatchback,61126,chennai,Datsun,Manual,1,5,2016,2016,2016,252999.99999999997
Diesel,SUV,100043,chennai,Mitsubishi,Manual,2,7,2012,2012,2012,1025000.0
Diesel,SUV,70034,chennai,Mitsubishi,Manual,1,7,2013,2013,2013,1175000.0
Diesel,Hatchback,90068,chennai,Volkswagen,Manual,2,5,2018,2018,2018,600000.0
Petrol,Sedan,86694,chennai,Hyundai,Manual,1,5,2015,2015,2015,405000.0
Diesel,Sedan,86000,chennai,Mercedes-Benz,Automatic,2,5,2011,2011,2011,1040000.0
Petrol,Sedan,79399,chennai,Maruti,Manual,1,5,2015,2015,2015,585000.0
Diesel,Sedan,86038,chennai,Audi,Automatic,1,5,2012,2012,2012,1175000.0
Petrol,Hatchback,69863,chennai,Maruti,Manual,1,5,2015,2015,2015,385000.0
Diesel,MUV,2000022,chennai,Toyota,Manual,1,7,2017,2017,2017,1750000.0
Petrol,Hatchback,133727,chennai,Hyundai,Manual,1,5,2013,2013,2013,310000.0
Petrol,SUV,85781,chennai,Hyundai,Automatic,1,5,2016,2016,2016,916000.0
Diesel,Hatchback,8837,chennai,Tata,Manual,1,5,2022,2022,2022,800000.0
Diesel,Sedan,120057,chennai,Toyota,Manual,2,5,2011,2011,2011,475000.0
Petrol,Hatchback,48527,chennai,Toyota,Manual,1,5,2019,2019,2019,699000.0
Diesel,SUV,71096,chennai,Honda,Manual,2,5,2017,2017,2017,714000.0
Petrol,Sedan,22000,chennai,Honda,Manual,1,5,2020,2020,2020,750000.0
Petrol,Hatchback,110054,chennai,Hyundai,Manual,1,5,2020,2020,2020,626000.0
Petrol,Sedan,85028,chennai,Honda,Manual,1,5,2012,2012,2012,465000.00000000006
Petrol,Sedan,10990,chennai,Honda,Manual,1,5,2021,2022,2021,1268000.0
Petrol,Sedan,115484,chennai,Hyundai,Manual,2,5,2017,2017,2017,805000.0000000001
Diesel,SUV,80062,chennai,Skoda,Manual,2,5,2011,2011,2011,475000.0
Diesel,Sedan,80039,chennai,Skoda,Manual,1,5,2012,2012,2012,375000.0
Petrol,Hatchback,16473,chennai,Maruti,Manual,1,5,2020,2020,2020,509999.99999999994
Petrol,SUV,8000,chennai,BMW,Automatic,1,5,2022,2022,2022,9350000.0
Petrol,Hatchback,53819,chennai,Maruti,Automatic,1,5,2017,2017,2017,660000.0
Diesel,MUV,100060,chennai,Mahindra,Manual,2,8,2011,2011,2011,495000.0
Petrol,Sedan,93000,chennai,Volkswagen,Automatic,1,5,2017,2017,2017,790000.0
Diesel,MUV,82000,chennai,Maruti,Manual,1,7,2013,2013,2013,690000.0
Diesel,Sedan,100057,chennai,BMW,Automatic,1,5,2013,2013,2013,1450000.0
Diesel,Sedan,100425,chennai,Volkswagen,Manual,1,5,2016,2016,2016,570000.0
Diesel,Sedan,102497,chennai,Hyundai,Manual,1,5,2018,2018,2018,827000.0
Petrol,Sedan,97942,chennai,Toyota,Manual,2,5,2011,2012,2011,345000.0
Petrol,Hatchback,78423,chennai,Volkswagen,Manual,1,5,2019,2019,2019,650000.0
Petrol,Hatchback,43088,chennai,Maruti,Manual,2,5,2014,2014,2014,244000.0
Petrol,SUV,14103,chennai,Renault,Manual,1,5,2021,2021,2021,815000.0
Diesel,Sedan,74000,chennai,Mercedes-Benz,Automatic,1,5,2011,2011,2011,1100000.0
Petrol,SUV,41285,chennai,Toyota,Automatic,1,5,2022,2022,2022,1150000.0
Petrol,Hatchback,76554,chennai,Ford,Manual,3,5,2012,2012,2012,210000.0
Petrol,MUV,25119,chennai,Datsun,Manual,1,7,2018,2018,2018,391000.0
Petrol,SUV,4977,chennai,Volkswagen,Manual,1,5,2022,2022,2022,1529000.0
Petrol,SUV,10000,chennai,Volvo,Automatic,1,5,2023,2023,2023,5300000.0
Petrol,Sedan,85037,chennai,Honda,Automatic,3,5,2004,2004,2004,250000.0
Petrol,Hatchback,2177,chennai,Maruti,Manual,2,5,2021,2021,2021,549000.0
Diesel,SUV,40511,chennai,Ford,Manual,1,5,2018,2018,2018,860000.0
Petrol,SUV,30400,chennai,Hyundai,Manual,1,5,2021,2021,2021,1145000.0
Diesel,SUV,75000,chennai,Honda,Manual,1,5,2017,2017,2017,790000.0
Petrol,SUV,27600,chennai,Skoda,Automatic,1,5,2021,2021,2021,1650000.0
Diesel,Hatchback,53908,chennai,Hyundai,Manual,1,5,2015,2015,2015,475000.0
Diesel,Sedan,30000,chennai,Mercedes-Benz,Automatic,1,5,2020,2020,2020,5700000.0
Diesel,SUV,46000,chennai,Mercedes-Benz,Automatic,1,5,2017,2017,2017,4950000.0
Petrol,SUV,9471,chennai,Tata,Automatic,1,5,2021,2021,2021,828999.9999999999
Petrol,Hatchback,12011,chennai,Tata,Automatic,1,5,2020,2020,2020,648000.0
Petrol,Sedan,85000,chennai,Volkswagen,Automatic,2,5,2011,2011,2011,375000.0
Petrol,SUV,27370,chennai,Hyundai,Automatic,1,5,2016,2017,2016,964000.0
Petrol,Hatchback,53098,chennai,Hyundai,Manual,2,5,2016,2017,2016,288000.0
Petrol,Hatchback,51680,chennai,Datsun,Manual,1,5,2019,2019,2019,340000.0
Petrol,Sedan,35821,chennai,Honda,Automatic,2,5,2018,2018,2018,906000.0
Petrol,Coupe,60000,chennai,Land Rover,Automatic,2,5,2013,2013,2013,3300000.0
Petrol,Hatchback,39323,chennai,Hyundai,Automatic,2,5,2018,2018,2018,686000.0
Petrol,Hatchback,60799,chennai,Renault,Manual,1,5,2016,2016,2016,335000.0
Diesel,Sedan,130000,chennai,Mercedes-Benz,Automatic,2,5,2014,2014,2014,1350000.0
Petrol,Sedan,63000,chennai,Toyota,Automatic,1,5,2014,2014,2014,1800000.0
Diesel,Sedan,50000,chennai,Mercedes-Benz,Automatic,1,5,2017,2017,2017,4900000.0
Diesel,Sedan,22600,chennai,BMW,Automatic,1,5,2021,2021,2021,5750000.0
Petrol,Sedan,30000,chennai,Maruti,Manual,1,5,2021,2021,2021,900000.0
Petrol,Sedan,58619,chennai,Hyundai,Manual,1,5,2018,2018,2018,900000.0
Petrol,SUV,23300,chennai,Ford,Manual,1,5,2019,2019,2019,890000.0
Petrol,Hatchback,121032,chennai,Hyundai,Manual,3,5,2010,2010,2010,280000.0
Petrol,Hatchback,91000,chennai,Hyundai,Manual,1,5,2010,2010,2010,265000.0
Diesel,SUV,30000,chennai,Kia,Manual,1,5,2020,2020,2020,1200000.0
Petrol,Hatchback,82171,chennai,Maruti,Manual,2,5,2019,2019,2019,574000.0
Cng,Hatchback,18551,chennai,Tata,Manual,1,5,2022,2022,2022,711000.0
Petrol,Hatchback,35000,chennai,Hyundai,Automatic,1,5,2020,2020,2020,960000.0
Petrol,Hatchback,50252,chennai,Maruti,Manual,1,5,2016,2016,2016,273000.0
Petrol,Sedan,34715,chennai,Honda,Manual,2,5,2019,2019,2019,593000.0
Petrol,SUV,30197,chennai,MG,Automatic,1,5,2020,2020,2020,1725000.0
Petrol,SUV,79089,chennai,Hyundai,Manual,2,5,2018,2018,2018,844999.9999999999
Petrol,Sedan,24035,chennai,Nissan,Manual,2,5,2011,2011,2011,300000.0
Diesel,Hatchback,39605,chennai,Hyundai,Manual,1,5,2020,2020,2020,735000.0
Petrol,Hatchback,66992,chennai,Maruti,Automatic,1,5,2016,2016,2016,407000.0
Diesel,SUV,50000,chennai,Mercedes-Benz,Automatic,1,5,2021,2021,2021,5900000.0
Petrol,Hatchback,29973,chennai,Maruti,Manual,1,5,2017,2017,2017,459999.99999999994
Petrol,Hatchback,49791,chennai,Renault,Manual,1,5,2018,2018,2018,360000.0
Petrol,SUV,52609,chennai,MG,Automatic,1,5,2020,2020,2020,1650000.0
Petrol,Hatchback,70000,chennai,Honda,Manual,1,5,2010,2010,2010,360000.0
Petrol,SUV,23000,chennai,Honda,Manual,1,5,2018,2018,2018,700000.0
Petrol,Hatchback,52172,chennai,Maruti,Manual,1,5,2010,2010,2010,210000.0
Diesel,SUV,29041,chennai,Hyundai,Manual,1,5,2022,2022,2022,1825000.0
Petrol,Hatchback,67022,chennai,Nissan,Automatic,1,5,2017,2017,2017,484999.99999999994
Petrol,Sedan,9900,chennai,Audi,Automatic,1,5,2021,2021,2021,9000000.0
Diesel,Sedan,103651,chennai,Volkswagen,Manual,2,5,2016,2016,2016,513000.0
Petrol,Sedan,49682,chennai,Honda,Automatic,1,5,2016,2017,2016,520000.0
Diesel,SUV,31000,chennai,Volvo,Automatic,1,5,2018,2018,2018,4800000.0
Petrol,Hatchback,53751,chennai,Renault,Manual,3,5,2018,2018,2018,305000.0
Petrol,Hatchback,111283,chennai,Maruti,Manual,2,5,2015,2015,2015,238000.0
Diesel,SUV,63000,chennai,Ford,Manual,2,5,2013,2013,2013,540000.0
Petrol,MUV,52509,chennai,Datsun,Manual,1,7,2016,2016,2016,362000.0
Diesel,Hatchback,69319,chennai,Nissan,Manual,1,5,2017,2017,2017,459999.99999999994
Petrol,Hatchback,89191,chennai,Maruti,Manual,1,5,2018,2019,2018,451000.0
Diesel,SUV,123152,chennai,Mahindra,Manual,1,6,2017,2017,2017,442000.0
Diesel,Sedan,65000,chennai,Audi,Automatic,2,5,2013,2013,2013,1480000.0
Diesel,Sedan,116413,chennai,Honda,Manual,1,5,2014,2014,2014,430000.0
Petrol,Sedan,56000,chennai,Audi,Automatic,1,5,2015,2016,2015,2290000.0
Petrol,Sedan,78000,chennai,Audi,Automatic,1,5,2015,2016,2015,2089999.9999999998
Diesel,SUV,30000,chennai,Mercedes-Benz,Automatic,1,5,2020,2020,2020,7500000.0
Petrol,SUV,2000,chennai,Mercedes-Benz,Automatic,1,5,2022,2022,2022,6450000.0
Petrol,Sedan,300,chennai,Mercedes-Benz,Automatic,1,5,2022,2022,2022,5900000.0
Petrol,SUV,11600,chennai,Hyundai,Manual,1,5,2022,2022,2022,950000.0
Petrol,SUV,18377,chennai,MG,Manual,1,5,2021,2021,2021,1750000.0
Petrol,Sedan,97000,chennai,Honda,Automatic,2,5,2010,2010,2010,365000.0
Petrol,Hatchback,75184,chennai,Hyundai,Manual,1,5,2015,2015,2015,287000.0
Petrol,Sedan,49387,chennai,Maruti,Manual,2,5,2014,2014,2014,437000.0
Petrol,Hatchback,81000,chennai,Hyundai,Manual,1,5,2011,2011,2011,310000.0
Petrol,Hatchback,80320,chennai,Maruti,Manual,1,5,2010,2011,2010,287000.0
Petrol,Sedan,8608,chennai,Skoda,Automatic,1,5,2021,2021,2021,1202000.0
Petrol,Sedan,23000,chennai,Hyundai,Automatic,1,5,2018,2018,2018,975000.0
Diesel,SUV,96892,chennai,Nissan,Manual,3,5,2015,2015,2015,515000.00000000006
Diesel,SUV,75000,chennai,Renault,Manual,1,5,2016,2016,2016,665000.0
Petrol,Hatchback,61237,chennai,Maruti,Manual,1,5,2016,2016,2016,279000.0
Petrol,SUV,32806,chennai,Nissan,Manual,1,5,2021,2021,2021,766000.0
Petrol,Hatchback,52138,chennai,Renault,Manual,1,5,2019,2019,2019,380000.0
Petrol,Sedan,37429,chennai,Volkswagen,Manual,1,5,2016,2016,2016,520000.0
Petrol,Hatchback,78978,chennai,Maruti,Manual,2,5,2010,2010,2010,260000.0
Diesel,SUV,100000,chennai,Toyota,Manual,2,7,2012,2012,2012,1475000.0
Diesel,SUV,96000,chennai,Mercedes-Benz,Automatic,2,5,2014,2014,2014,1975000.0
Diesel,SUV,69000,chennai,Skoda,Automatic,1,7,2018,2018,2018,2800000.0
Petrol,Hatchback,52044,chennai,Honda,Manual,1,5,2015,2015,2015,450000.0
Petrol,Sedan,37000,chennai,Audi,Automatic,1,5,2019,2019,2019,2425000.0
Petrol,MUV,8541,chennai,Renault,Manual,1,7,2023,2023,2023,840000.0
Petrol,Sedan,30000,chennai,Skoda,Automatic,2,5,2019,2019,2019,710000.0
Petrol,Hatchback,44768,chennai,Maruti,Automatic,1,5,2018,2018,2018,459000.0
Petrol,SUV,27062,chennai,Ford,Manual,1,5,2020,2020,2020,769000.0
Petrol,Sedan,46973,chennai,Hyundai,Manual,1,5,2018,2018,2018,900000.0
Petrol,Sedan,22239,chennai,Volkswagen,Manual,1,5,2022,2022,2022,1277000.0
Petrol,SUV,16455,chennai,Tata,Manual,1,5,2021,2021,2021,969000.0
Diesel,Sedan,20000,chennai,BMW,Automatic,1,5,2021,2021,2021,6000000.0
Petrol,Hatchback,5107,chennai,Tata,Automatic,1,5,2022,2022,2022,942000.0
Petrol,Hatchback,34000,chennai,Hyundai,Manual,1,5,2022,2022,2022,690000.0
Petrol,SUV,88923,chennai,Jeep,Automatic,1,5,2018,2018,2018,1256000.0
Petrol,Hatchback,94581,chennai,Maruti,Manual,2,5,2013,2013,2013,288000.0
Diesel,SUV,71000,chennai,Land Rover,Automatic,1,7,2017,2017,2017,3600000.0
Petrol,Hatchback,30924,chennai,Hyundai,Manual,1,5,2021,2021,2021,950000.0
Petrol,Hatchback,58747,chennai,Maruti,Manual,2,5,2011,2011,2011,222000.00000000003
Petrol,Hatchback,63697,chennai,Maruti,Manual,1,5,2012,2012,2012,235000.0
Diesel,SUV,53000,chennai,Honda,Manual,1,5,2017,2017,2017,890000.0
Diesel,SUV,43000,chennai,Ford,Manual,1,5,2016,2016,2016,660000.0
Petrol,Sedan,21000,chennai,Toyota,Automatic,1,5,2020,2020,2020,3900000.0
