,ft,bt,km,transmission,ownerNo,oem,model,modelYear,price,Registration Year,Insurance Validity,Fuel Type,Seats,Ownership,Transmission,Year of Manufacture,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Turbo Charger,Super Charger,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,City
926,Petrol,Sedan,124707,Manual,2,Skoda,Skoda Rapid,2017,635000.0,2018,Third Party insurance,Petrol,5,Second Owner,Manual,2017,15.41,1598.0,82bhp@6000rpm,153.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
927,Diesel,Hatchback,70000,Manual,2,Volkswagen,Volkswagen Polo,2012,400000.0,2012,Third Party insurance,Diesel,5,Second Owner,Manual,2012,22.07,1199.0,82bhp@6000rpm,180.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
928,Petrol,SUV,88556,Manual,1,Hyundai,Hyundai Creta,2017,966000.0,2017,Comprehensive,Petrol,5,First Owner,Manual,2017,13.0,1591.0,82bhp@6000rpm,151.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
929,Diesel,SUV,48743,Manual,1,Ford,Ford Ecosport,2017,781000.0,2017,Comprehensive,Diesel,5,First Owner,Manual,2017,22.77,1498.0,82bhp@6000rpm,205.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
930,Diesel,SUV,100000,Automatic,2,BMW,BMW X3,2016,2800000.0,2016,Third Party insurance,Diesel,5,Second Owner,Automatic,2016,18.56,1995.0,82bhp@6000rpm,400.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
931,Petrol,Sedan,100000,Manual,2,Skoda,Skoda Superb,2012,385000.0,2012,Third Party insurance,Petrol,5,Second Owner,Manual,2012,13.7,1798.0,82bhp@6000rpm,250.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
932,Diesel,SUV,120000,Manual,4,Mahindra,Mahindra XUV500,2012,600000.0,2012,Third Party insurance,Diesel,7,Fourth Owner,Manual,2012,15.1,2179.0,82bhp@6000rpm,330.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
933,Diesel,SUV,70000,Manual,2,Mahindra,Mahindra TUV 300,2016,600000.0,2016,Third Party insurance,Diesel,7,Second Owner,Manual,2016,18.49,1493.0,82bhp@6000rpm,240.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
934,Petrol,Sedan,90000,Manual,2,Skoda,Skoda Superb,2012,365000.0,2012,Third Party insurance,Petrol,5,Second Owner,Manual,2012,13.7,1798.0,82bhp@6000rpm,250.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
935,Diesel,Pickup Trucks,70000,Manual,1,Mahindra,Mahindra Bolero Camper,2019,749000.0,2019,Third Party insurance,Diesel,5,First Owner,Manual,2019,18.9,2523.0,82bhp@6000rpm,200.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
